symbol,clearing_average_cost
AXP,319.36
WMT,85.70
INTC,19.47
MCD,297.20
MSFT,418.59
XYZ,86.35
QQQ,525.47
BRK.B,472.84
KO,64.15
LLY,797.04
PG,174.32
BA,179.27
ABT,116.11
AMD,110.10
COST,983.69
JEF,78.68
CRM,322.43
SPY,597.49
VTI,295.93
IWM,235.89
TQQQ,85.91
JPM,242.79
IVW,103.73
SPMO,99.68
CAT,373.86
JEPI,57.32
SOFI,15.49
BLK,1025.63
AVUV,98.59
YALL,38.81
VT,116.50
QUBT,18.33
